"STATISTIC","Statistic Label","TLIST(A1)","Year","C02199V02655","Sex","C02466V02984","Criteria for Projection","UNIT","VALUE"
"PEC25C02","Projected Annual Deaths","2023","2023","-","Both sexes","21","Method - M1","Number","35068"
"PEC25C02","Projected Annual Deaths","2023","2023","-","Both sexes","22","Method - M2","Number","35068"
"PEC25C02","Projected Annual Deaths","2023","2023","-","Both sexes","23","Method - M3","Number","35068"
"PEC25C02","Projected Annual Deaths","2023","2023","1","Male","21","Method - M1","Number","18340"
"PEC25C02","Projected Annual Deaths","2023","2023","1","Male","22","Method - M2","Number","18340"
"PEC25C02","Projected Annual Deaths","2023","2023","1","Male","23","Method - M3","Number","18340"
"PEC25C02","Projected Annual Deaths","2023","2023","2","Female","21","Method - M1","Number","16728"
"PEC25C02","Projected Annual Deaths","2023","2023","2","Female","22","Method - M2","Number","16728"
"PEC25C02","Projected Annual Deaths","2023","2023","2","Female","23","Method - M3","Number","16728"
"PEC25C02","Projected Annual Deaths","2024","2024","-","Both sexes","21","Method - M1","Number","36569"
"PEC25C02","Projected Annual Deaths","2024","2024","-","Both sexes","22","Method - M2","Number","36569"
"PEC25C02","Projected Annual Deaths","2024","2024","-","Both sexes","23","Method - M3","Number","36569"
"PEC25C02","Projected Annual Deaths","2024","2024","1","Male","21","Method - M1","Number","19193"
"PEC25C02","Projected Annual Deaths","2024","2024","1","Male","22","Method - M2","Number","19193"
"PEC25C02","Projected Annual Deaths","2024","2024","1","Male","23","Method - M3","Number","19193"
"PEC25C02","Projected Annual Deaths","2024","2024","2","Female","21","Method - M1","Number","17376"
"PEC25C02","Projected Annual Deaths","2024","2024","2","Female","22","Method - M2","Number","17376"
"PEC25C02","Projected Annual Deaths","2024","2024","2","Female","23","Method - M3","Number","17376"
"PEC25C02","Projected Annual Deaths","2025","2025","-","Both sexes","21","Method - M1","Number","37167"
"PEC25C02","Projected Annual Deaths","2025","2025","-","Both sexes","22","Method - M2","Number","37113"
"PEC25C02","Projected Annual Deaths","2025","2025","-","Both sexes","23","Method - M3","Number","37102"
"PEC25C02","Projected Annual Deaths","2025","2025","1","Male","21","Method - M1","Number","19558"
"PEC25C02","Projected Annual Deaths","2025","2025","1","Male","22","Method - M2","Number","19526"
"PEC25C02","Projected Annual Deaths","2025","2025","1","Male","23","Method - M3","Number","19520"
"PEC25C02","Projected Annual Deaths","2025","2025","2","Female","21","Method - M1","Number","17609"
"PEC25C02","Projected Annual Deaths","2025","2025","2","Female","22","Method - M2","Number","17587"
"PEC25C02","Projected Annual Deaths","2025","2025","2","Female","23","Method - M3","Number","17582"
"PEC25C02","Projected Annual Deaths","2026","2026","-","Both sexes","21","Method - M1","Number","37784"
"PEC25C02","Projected Annual Deaths","2026","2026","-","Both sexes","22","Method - M2","Number","37685"
"PEC25C02","Projected Annual Deaths","2026","2026","-","Both sexes","23","Method - M3","Number","37639"
"PEC25C02","Projected Annual Deaths","2026","2026","1","Male","21","Method - M1","Number","19920"
"PEC25C02","Projected Annual Deaths","2026","2026","1","Male","22","Method - M2","Number","19862"
"PEC25C02","Projected Annual Deaths","2026","2026","1","Male","23","Method - M3","Number","19837"
"PEC25C02","Projected Annual Deaths","2026","2026","2","Female","21","Method - M1","Number","17864"
"PEC25C02","Projected Annual Deaths","2026","2026","2","Female","22","Method - M2","Number","17823"
"PEC25C02","Projected Annual Deaths","2026","2026","2","Female","23","Method - M3","Number","17802"
"PEC25C02","Projected Annual Deaths","2027","2027","-","Both sexes","21","Method - M1","Number","38396"
"PEC25C02","Projected Annual Deaths","2027","2027","-","Both sexes","22","Method - M2","Number","38262"
"PEC25C02","Projected Annual Deaths","2027","2027","-","Both sexes","23","Method - M3","Number","38186"
"PEC25C02","Projected Annual Deaths","2027","2027","1","Male","21","Method - M1","Number","20268"
"PEC25C02","Projected Annual Deaths","2027","2027","1","Male","22","Method - M2","Number","20189"
"PEC25C02","Projected Annual Deaths","2027","2027","1","Male","23","Method - M3","Number","20145"
"PEC25C02","Projected Annual Deaths","2027","2027","2","Female","21","Method - M1","Number","18128"
"PEC25C02","Projected Annual Deaths","2027","2027","2","Female","22","Method - M2","Number","18073"
"PEC25C02","Projected Annual Deaths","2027","2027","2","Female","23","Method - M3","Number","18041"
"PEC25C02","Projected Annual Deaths","2028","2028","-","Both sexes","21","Method - M1","Number","39003"
"PEC25C02","Projected Annual Deaths","2028","2028","-","Both sexes","22","Method - M2","Number","38861"
"PEC25C02","Projected Annual Deaths","2028","2028","-","Both sexes","23","Method - M3","Number","38764"
"PEC25C02","Projected Annual Deaths","2028","2028","1","Male","21","Method - M1","Number","20604"
"PEC25C02","Projected Annual Deaths","2028","2028","1","Male","22","Method - M2","Number","20523"
"PEC25C02","Projected Annual Deaths","2028","2028","1","Male","23","Method - M3","Number","20465"
"PEC25C02","Projected Annual Deaths","2028","2028","2","Female","21","Method - M1","Number","18399"
"PEC25C02","Projected Annual Deaths","2028","2028","2","Female","22","Method - M2","Number","18338"
"PEC25C02","Projected Annual Deaths","2028","2028","2","Female","23","Method - M3","Number","18299"
"PEC25C02","Projected Annual Deaths","2029","2029","-","Both sexes","21","Method - M1","Number","39671"
"PEC25C02","Projected Annual Deaths","2029","2029","-","Both sexes","22","Method - M2","Number","39487"
"PEC25C02","Projected Annual Deaths","2029","2029","-","Both sexes","23","Method - M3","Number","39370"
"PEC25C02","Projected Annual Deaths","2029","2029","1","Male","21","Method - M1","Number","20967"
"PEC25C02","Projected Annual Deaths","2029","2029","1","Male","22","Method - M2","Number","20859"
"PEC25C02","Projected Annual Deaths","2029","2029","1","Male","23","Method - M3","Number","20792"
"PEC25C02","Projected Annual Deaths","2029","2029","2","Female","21","Method - M1","Number","18704"
"PEC25C02","Projected Annual Deaths","2029","2029","2","Female","22","Method - M2","Number","18628"
"PEC25C02","Projected Annual Deaths","2029","2029","2","Female","23","Method - M3","Number","18578"
"PEC25C02","Projected Annual Deaths","2030","2030","-","Both sexes","21","Method - M1","Number","40356"
"PEC25C02","Projected Annual Deaths","2030","2030","-","Both sexes","22","Method - M2","Number","40160"
"PEC25C02","Projected Annual Deaths","2030","2030","-","Both sexes","23","Method - M3","Number","40020"
"PEC25C02","Projected Annual Deaths","2030","2030","1","Male","21","Method - M1","Number","21330"
"PEC25C02","Projected Annual Deaths","2030","2030","1","Male","22","Method - M2","Number","21214"
"PEC25C02","Projected Annual Deaths","2030","2030","1","Male","23","Method - M3","Number","21136"
"PEC25C02","Projected Annual Deaths","2030","2030","2","Female","21","Method - M1","Number","19026"
"PEC25C02","Projected Annual Deaths","2030","2030","2","Female","22","Method - M2","Number","18946"
"PEC25C02","Projected Annual Deaths","2030","2030","2","Female","23","Method - M3","Number","18884"
"PEC25C02","Projected Annual Deaths","2031","2031","-","Both sexes","21","Method - M1","Number","41096"
"PEC25C02","Projected Annual Deaths","2031","2031","-","Both sexes","22","Method - M2","Number","40866"
"PEC25C02","Projected Annual Deaths","2031","2031","-","Both sexes","23","Method - M3","Number","40687"
"PEC25C02","Projected Annual Deaths","2031","2031","1","Male","21","Method - M1","Number","21716"
"PEC25C02","Projected Annual Deaths","2031","2031","1","Male","22","Method - M2","Number","21580"
"PEC25C02","Projected Annual Deaths","2031","2031","1","Male","23","Method - M3","Number","21482"
"PEC25C02","Projected Annual Deaths","2031","2031","2","Female","21","Method - M1","Number","19380"
"PEC25C02","Projected Annual Deaths","2031","2031","2","Female","22","Method - M2","Number","19286"
"PEC25C02","Projected Annual Deaths","2031","2031","2","Female","23","Method - M3","Number","19205"
"PEC25C02","Projected Annual Deaths","2032","2032","-","Both sexes","21","Method - M1","Number","41857"
"PEC25C02","Projected Annual Deaths","2032","2032","-","Both sexes","22","Method - M2","Number","41609"
"PEC25C02","Projected Annual Deaths","2032","2032","-","Both sexes","23","Method - M3","Number","41391"
"PEC25C02","Projected Annual Deaths","2032","2032","1","Male","21","Method - M1","Number","22100"
"PEC25C02","Projected Annual Deaths","2032","2032","1","Male","22","Method - M2","Number","21961"
"PEC25C02","Projected Annual Deaths","2032","2032","1","Male","23","Method - M3","Number","21833"
"PEC25C02","Projected Annual Deaths","2032","2032","2","Female","21","Method - M1","Number","19757"
"PEC25C02","Projected Annual Deaths","2032","2032","2","Female","22","Method - M2","Number","19648"
"PEC25C02","Projected Annual Deaths","2032","2032","2","Female","23","Method - M3","Number","19558"
"PEC25C02","Projected Annual Deaths","2033","2033","-","Both sexes","21","Method - M1","Number","42647"
"PEC25C02","Projected Annual Deaths","2033","2033","-","Both sexes","22","Method - M2","Number","42357"
"PEC25C02","Projected Annual Deaths","2033","2033","-","Both sexes","23","Method - M3","Number","42093"
"PEC25C02","Projected Annual Deaths","2033","2033","1","Male","21","Method - M1","Number","22500"
"PEC25C02","Projected Annual Deaths","2033","2033","1","Male","22","Method - M2","Number","22330"
"PEC25C02","Projected Annual Deaths","2033","2033","1","Male","23","Method - M3","Number","22185"
"PEC25C02","Projected Annual Deaths","2033","2033","2","Female","21","Method - M1","Number","20147"
"PEC25C02","Projected Annual Deaths","2033","2033","2","Female","22","Method - M2","Number","20027"
"PEC25C02","Projected Annual Deaths","2033","2033","2","Female","23","Method - M3","Number","19908"
"PEC25C02","Projected Annual Deaths","2034","2034","-","Both sexes","21","Method - M1","Number","43459"
"PEC25C02","Projected Annual Deaths","2034","2034","-","Both sexes","22","Method - M2","Number","43129"
"PEC25C02","Projected Annual Deaths","2034","2034","-","Both sexes","23","Method - M3","Number","42829"
"PEC25C02","Projected Annual Deaths","2034","2034","1","Male","21","Method - M1","Number","22904"
"PEC25C02","Projected Annual Deaths","2034","2034","1","Male","22","Method - M2","Number","22710"
"PEC25C02","Projected Annual Deaths","2034","2034","1","Male","23","Method - M3","Number","22539"
"PEC25C02","Projected Annual Deaths","2034","2034","2","Female","21","Method - M1","Number","20555"
"PEC25C02","Projected Annual Deaths","2034","2034","2","Female","22","Method - M2","Number","20419"
"PEC25C02","Projected Annual Deaths","2034","2034","2","Female","23","Method - M3","Number","20290"
"PEC25C02","Projected Annual Deaths","2035","2035","-","Both sexes","21","Method - M1","Number","44312"
"PEC25C02","Projected Annual Deaths","2035","2035","-","Both sexes","22","Method - M2","Number","43937"
"PEC25C02","Projected Annual Deaths","2035","2035","-","Both sexes","23","Method - M3","Number","43599"
"PEC25C02","Projected Annual Deaths","2035","2035","1","Male","21","Method - M1","Number","23325"
"PEC25C02","Projected Annual Deaths","2035","2035","1","Male","22","Method - M2","Number","23106"
"PEC25C02","Projected Annual Deaths","2035","2035","1","Male","23","Method - M3","Number","22912"
"PEC25C02","Projected Annual Deaths","2035","2035","2","Female","21","Method - M1","Number","20987"
"PEC25C02","Projected Annual Deaths","2035","2035","2","Female","22","Method - M2","Number","20831"
"PEC25C02","Projected Annual Deaths","2035","2035","2","Female","23","Method - M3","Number","20687"
"PEC25C02","Projected Annual Deaths","2036","2036","-","Both sexes","21","Method - M1","Number","45196"
"PEC25C02","Projected Annual Deaths","2036","2036","-","Both sexes","22","Method - M2","Number","44776"
"PEC25C02","Projected Annual Deaths","2036","2036","-","Both sexes","23","Method - M3","Number","44400"
"PEC25C02","Projected Annual Deaths","2036","2036","1","Male","21","Method - M1","Number","23756"
"PEC25C02","Projected Annual Deaths","2036","2036","1","Male","22","Method - M2","Number","23510"
"PEC25C02","Projected Annual Deaths","2036","2036","1","Male","23","Method - M3","Number","23296"
"PEC25C02","Projected Annual Deaths","2036","2036","2","Female","21","Method - M1","Number","21440"
"PEC25C02","Projected Annual Deaths","2036","2036","2","Female","22","Method - M2","Number","21266"
"PEC25C02","Projected Annual Deaths","2036","2036","2","Female","23","Method - M3","Number","21104"
"PEC25C02","Projected Annual Deaths","2037","2037","-","Both sexes","21","Method - M1","Number","46097"
"PEC25C02","Projected Annual Deaths","2037","2037","-","Both sexes","22","Method - M2","Number","45639"
"PEC25C02","Projected Annual Deaths","2037","2037","-","Both sexes","23","Method - M3","Number","45203"
"PEC25C02","Projected Annual Deaths","2037","2037","1","Male","21","Method - M1","Number","24189"
"PEC25C02","Projected Annual Deaths","2037","2037","1","Male","22","Method - M2","Number","23926"
"PEC25C02","Projected Annual Deaths","2037","2037","1","Male","23","Method - M3","Number","23677"
"PEC25C02","Projected Annual Deaths","2037","2037","2","Female","21","Method - M1","Number","21908"
"PEC25C02","Projected Annual Deaths","2037","2037","2","Female","22","Method - M2","Number","21713"
"PEC25C02","Projected Annual Deaths","2037","2037","2","Female","23","Method - M3","Number","21526"
"PEC25C02","Projected Annual Deaths","2038","2038","-","Both sexes","21","Method - M1","Number","47019"
"PEC25C02","Projected Annual Deaths","2038","2038","-","Both sexes","22","Method - M2","Number","46527"
"PEC25C02","Projected Annual Deaths","2038","2038","-","Both sexes","23","Method - M3","Number","46043"
"PEC25C02","Projected Annual Deaths","2038","2038","1","Male","21","Method - M1","Number","24627"
"PEC25C02","Projected Annual Deaths","2038","2038","1","Male","22","Method - M2","Number","24346"
"PEC25C02","Projected Annual Deaths","2038","2038","1","Male","23","Method - M3","Number","24067"
"PEC25C02","Projected Annual Deaths","2038","2038","2","Female","21","Method - M1","Number","22392"
"PEC25C02","Projected Annual Deaths","2038","2038","2","Female","22","Method - M2","Number","22181"
"PEC25C02","Projected Annual Deaths","2038","2038","2","Female","23","Method - M3","Number","21976"
"PEC25C02","Projected Annual Deaths","2039","2039","-","Both sexes","21","Method - M1","Number","47969"
"PEC25C02","Projected Annual Deaths","2039","2039","-","Both sexes","22","Method - M2","Number","47434"
"PEC25C02","Projected Annual Deaths","2039","2039","-","Both sexes","23","Method - M3","Number","46912"
"PEC25C02","Projected Annual Deaths","2039","2039","1","Male","21","Method - M1","Number","25083"
"PEC25C02","Projected Annual Deaths","2039","2039","1","Male","22","Method - M2","Number","24769"
"PEC25C02","Projected Annual Deaths","2039","2039","1","Male","23","Method - M3","Number","24473"
"PEC25C02","Projected Annual Deaths","2039","2039","2","Female","21","Method - M1","Number","22886"
"PEC25C02","Projected Annual Deaths","2039","2039","2","Female","22","Method - M2","Number","22665"
"PEC25C02","Projected Annual Deaths","2039","2039","2","Female","23","Method - M3","Number","22439"
"PEC25C02","Projected Annual Deaths","2040","2040","-","Both sexes","21","Method - M1","Number","48930"
"PEC25C02","Projected Annual Deaths","2040","2040","-","Both sexes","22","Method - M2","Number","48353"
"PEC25C02","Projected Annual Deaths","2040","2040","-","Both sexes","23","Method - M3","Number","47790"
"PEC25C02","Projected Annual Deaths","2040","2040","1","Male","21","Method - M1","Number","25529"
"PEC25C02","Projected Annual Deaths","2040","2040","1","Male","22","Method - M2","Number","25195"
"PEC25C02","Projected Annual Deaths","2040","2040","1","Male","23","Method - M3","Number","24878"
"PEC25C02","Projected Annual Deaths","2040","2040","2","Female","21","Method - M1","Number","23401"
"PEC25C02","Projected Annual Deaths","2040","2040","2","Female","22","Method - M2","Number","23158"
"PEC25C02","Projected Annual Deaths","2040","2040","2","Female","23","Method - M3","Number","22912"
"PEC25C02","Projected Annual Deaths","2041","2041","-","Both sexes","21","Method - M1","Number","49922"
"PEC25C02","Projected Annual Deaths","2041","2041","-","Both sexes","22","Method - M2","Number","49295"
"PEC25C02","Projected Annual Deaths","2041","2041","-","Both sexes","23","Method - M3","Number","48678"
"PEC25C02","Projected Annual Deaths","2041","2041","1","Male","21","Method - M1","Number","25993"
"PEC25C02","Projected Annual Deaths","2041","2041","1","Male","22","Method - M2","Number","25631"
"PEC25C02","Projected Annual Deaths","2041","2041","1","Male","23","Method - M3","Number","25281"
"PEC25C02","Projected Annual Deaths","2041","2041","2","Female","21","Method - M1","Number","23929"
"PEC25C02","Projected Annual Deaths","2041","2041","2","Female","22","Method - M2","Number","23664"
"PEC25C02","Projected Annual Deaths","2041","2041","2","Female","23","Method - M3","Number","23397"
"PEC25C02","Projected Annual Deaths","2042","2042","-","Both sexes","21","Method - M1","Number","50920"
"PEC25C02","Projected Annual Deaths","2042","2042","-","Both sexes","22","Method - M2","Number","50252"
"PEC25C02","Projected Annual Deaths","2042","2042","-","Both sexes","23","Method - M3","Number","49582"
"PEC25C02","Projected Annual Deaths","2042","2042","1","Male","21","Method - M1","Number","26459"
"PEC25C02","Projected Annual Deaths","2042","2042","1","Male","22","Method - M2","Number","26077"
"PEC25C02","Projected Annual Deaths","2042","2042","1","Male","23","Method - M3","Number","25691"
"PEC25C02","Projected Annual Deaths","2042","2042","2","Female","21","Method - M1","Number","24461"
"PEC25C02","Projected Annual Deaths","2042","2042","2","Female","22","Method - M2","Number","24175"
"PEC25C02","Projected Annual Deaths","2042","2042","2","Female","23","Method - M3","Number","23891"
"PEC25C02","Projected Annual Deaths","2043","2043","-","Both sexes","21","Method - M1","Number","51941"
"PEC25C02","Projected Annual Deaths","2043","2043","-","Both sexes","22","Method - M2","Number","51222"
"PEC25C02","Projected Annual Deaths","2043","2043","-","Both sexes","23","Method - M3","Number","50484"
"PEC25C02","Projected Annual Deaths","2043","2043","1","Male","21","Method - M1","Number","26934"
"PEC25C02","Projected Annual Deaths","2043","2043","1","Male","22","Method - M2","Number","26522"
"PEC25C02","Projected Annual Deaths","2043","2043","1","Male","23","Method - M3","Number","26102"
"PEC25C02","Projected Annual Deaths","2043","2043","2","Female","21","Method - M1","Number","25007"
"PEC25C02","Projected Annual Deaths","2043","2043","2","Female","22","Method - M2","Number","24700"
"PEC25C02","Projected Annual Deaths","2043","2043","2","Female","23","Method - M3","Number","24382"
"PEC25C02","Projected Annual Deaths","2044","2044","-","Both sexes","21","Method - M1","Number","52960"
"PEC25C02","Projected Annual Deaths","2044","2044","-","Both sexes","22","Method - M2","Number","52188"
"PEC25C02","Projected Annual Deaths","2044","2044","-","Both sexes","23","Method - M3","Number","51402"
"PEC25C02","Projected Annual Deaths","2044","2044","1","Male","21","Method - M1","Number","27407"
"PEC25C02","Projected Annual Deaths","2044","2044","1","Male","22","Method - M2","Number","26969"
"PEC25C02","Projected Annual Deaths","2044","2044","1","Male","23","Method - M3","Number","26519"
"PEC25C02","Projected Annual Deaths","2044","2044","2","Female","21","Method - M1","Number","25553"
"PEC25C02","Projected Annual Deaths","2044","2044","2","Female","22","Method - M2","Number","25219"
"PEC25C02","Projected Annual Deaths","2044","2044","2","Female","23","Method - M3","Number","24883"
"PEC25C02","Projected Annual Deaths","2045","2045","-","Both sexes","21","Method - M1","Number","53992"
"PEC25C02","Projected Annual Deaths","2045","2045","-","Both sexes","22","Method - M2","Number","53173"
"PEC25C02","Projected Annual Deaths","2045","2045","-","Both sexes","23","Method - M3","Number","52328"
"PEC25C02","Projected Annual Deaths","2045","2045","1","Male","21","Method - M1","Number","27892"
"PEC25C02","Projected Annual Deaths","2045","2045","1","Male","22","Method - M2","Number","27420"
"PEC25C02","Projected Annual Deaths","2045","2045","1","Male","23","Method - M3","Number","26937"
"PEC25C02","Projected Annual Deaths","2045","2045","2","Female","21","Method - M1","Number","26100"
"PEC25C02","Projected Annual Deaths","2045","2045","2","Female","22","Method - M2","Number","25753"
"PEC25C02","Projected Annual Deaths","2045","2045","2","Female","23","Method - M3","Number","25391"
"PEC25C02","Projected Annual Deaths","2046","2046","-","Both sexes","21","Method - M1","Number","55036"
"PEC25C02","Projected Annual Deaths","2046","2046","-","Both sexes","22","Method - M2","Number","54163"
"PEC25C02","Projected Annual Deaths","2046","2046","-","Both sexes","23","Method - M3","Number","53248"
"PEC25C02","Projected Annual Deaths","2046","2046","1","Male","21","Method - M1","Number","28377"
"PEC25C02","Projected Annual Deaths","2046","2046","1","Male","22","Method - M2","Number","27878"
"PEC25C02","Projected Annual Deaths","2046","2046","1","Male","23","Method - M3","Number","27357"
"PEC25C02","Projected Annual Deaths","2046","2046","2","Female","21","Method - M1","Number","26659"
"PEC25C02","Projected Annual Deaths","2046","2046","2","Female","22","Method - M2","Number","26285"
"PEC25C02","Projected Annual Deaths","2046","2046","2","Female","23","Method - M3","Number","25891"
"PEC25C02","Projected Annual Deaths","2047","2047","-","Both sexes","21","Method - M1","Number","56088"
"PEC25C02","Projected Annual Deaths","2047","2047","-","Both sexes","22","Method - M2","Number","55161"
"PEC25C02","Projected Annual Deaths","2047","2047","-","Both sexes","23","Method - M3","Number","54188"
"PEC25C02","Projected Annual Deaths","2047","2047","1","Male","21","Method - M1","Number","28877"
"PEC25C02","Projected Annual Deaths","2047","2047","1","Male","22","Method - M2","Number","28346"
"PEC25C02","Projected Annual Deaths","2047","2047","1","Male","23","Method - M3","Number","27790"
"PEC25C02","Projected Annual Deaths","2047","2047","2","Female","21","Method - M1","Number","27211"
"PEC25C02","Projected Annual Deaths","2047","2047","2","Female","22","Method - M2","Number","26815"
"PEC25C02","Projected Annual Deaths","2047","2047","2","Female","23","Method - M3","Number","26398"
"PEC25C02","Projected Annual Deaths","2048","2048","-","Both sexes","21","Method - M1","Number","57157"
"PEC25C02","Projected Annual Deaths","2048","2048","-","Both sexes","22","Method - M2","Number","56159"
"PEC25C02","Projected Annual Deaths","2048","2048","-","Both sexes","23","Method - M3","Number","55109"
"PEC25C02","Projected Annual Deaths","2048","2048","1","Male","21","Method - M1","Number","29387"
"PEC25C02","Projected Annual Deaths","2048","2048","1","Male","22","Method - M2","Number","28807"
"PEC25C02","Projected Annual Deaths","2048","2048","1","Male","23","Method - M3","Number","28208"
"PEC25C02","Projected Annual Deaths","2048","2048","2","Female","21","Method - M1","Number","27770"
"PEC25C02","Projected Annual Deaths","2048","2048","2","Female","22","Method - M2","Number","27352"
"PEC25C02","Projected Annual Deaths","2048","2048","2","Female","23","Method - M3","Number","26901"
"PEC25C02","Projected Annual Deaths","2049","2049","-","Both sexes","21","Method - M1","Number","58219"
"PEC25C02","Projected Annual Deaths","2049","2049","-","Both sexes","22","Method - M2","Number","57154"
"PEC25C02","Projected Annual Deaths","2049","2049","-","Both sexes","23","Method - M3","Number","56038"
"PEC25C02","Projected Annual Deaths","2049","2049","1","Male","21","Method - M1","Number","29885"
"PEC25C02","Projected Annual Deaths","2049","2049","1","Male","22","Method - M2","Number","29274"
"PEC25C02","Projected Annual Deaths","2049","2049","1","Male","23","Method - M3","Number","28635"
"PEC25C02","Projected Annual Deaths","2049","2049","2","Female","21","Method - M1","Number","28334"
"PEC25C02","Projected Annual Deaths","2049","2049","2","Female","22","Method - M2","Number","27880"
"PEC25C02","Projected Annual Deaths","2049","2049","2","Female","23","Method - M3","Number","27403"
"PEC25C02","Projected Annual Deaths","2050","2050","-","Both sexes","21","Method - M1","Number","59267"
"PEC25C02","Projected Annual Deaths","2050","2050","-","Both sexes","22","Method - M2","Number","58145"
"PEC25C02","Projected Annual Deaths","2050","2050","-","Both sexes","23","Method - M3","Number","56963"
"PEC25C02","Projected Annual Deaths","2050","2050","1","Male","21","Method - M1","Number","30379"
"PEC25C02","Projected Annual Deaths","2050","2050","1","Male","22","Method - M2","Number","29737"
"PEC25C02","Projected Annual Deaths","2050","2050","1","Male","23","Method - M3","Number","29061"
"PEC25C02","Projected Annual Deaths","2050","2050","2","Female","21","Method - M1","Number","28888"
"PEC25C02","Projected Annual Deaths","2050","2050","2","Female","22","Method - M2","Number","28408"
"PEC25C02","Projected Annual Deaths","2050","2050","2","Female","23","Method - M3","Number","27902"
"PEC25C02","Projected Annual Deaths","2051","2051","-","Both sexes","21","Method - M1","Number","60331"
"PEC25C02","Projected Annual Deaths","2051","2051","-","Both sexes","22","Method - M2","Number","59129"
"PEC25C02","Projected Annual Deaths","2051","2051","-","Both sexes","23","Method - M3","Number","57857"
"PEC25C02","Projected Annual Deaths","2051","2051","1","Male","21","Method - M1","Number","30881"
"PEC25C02","Projected Annual Deaths","2051","2051","1","Male","22","Method - M2","Number","30196"
"PEC25C02","Projected Annual Deaths","2051","2051","1","Male","23","Method - M3","Number","29468"
"PEC25C02","Projected Annual Deaths","2051","2051","2","Female","21","Method - M1","Number","29450"
"PEC25C02","Projected Annual Deaths","2051","2051","2","Female","22","Method - M2","Number","28933"
"PEC25C02","Projected Annual Deaths","2051","2051","2","Female","23","Method - M3","Number","28389"
"PEC25C02","Projected Annual Deaths","2052","2052","-","Both sexes","21","Method - M1","Number","61377"
"PEC25C02","Projected Annual Deaths","2052","2052","-","Both sexes","22","Method - M2","Number","60104"
"PEC25C02","Projected Annual Deaths","2052","2052","-","Both sexes","23","Method - M3","Number","58752"
"PEC25C02","Projected Annual Deaths","2052","2052","1","Male","21","Method - M1","Number","31380"
"PEC25C02","Projected Annual Deaths","2052","2052","1","Male","22","Method - M2","Number","30652"
"PEC25C02","Projected Annual Deaths","2052","2052","1","Male","23","Method - M3","Number","29876"
"PEC25C02","Projected Annual Deaths","2052","2052","2","Female","21","Method - M1","Number","29997"
"PEC25C02","Projected Annual Deaths","2052","2052","2","Female","22","Method - M2","Number","29452"
"PEC25C02","Projected Annual Deaths","2052","2052","2","Female","23","Method - M3","Number","28876"
"PEC25C02","Projected Annual Deaths","2053","2053","-","Both sexes","21","Method - M1","Number","62445"
"PEC25C02","Projected Annual Deaths","2053","2053","-","Both sexes","22","Method - M2","Number","61098"
"PEC25C02","Projected Annual Deaths","2053","2053","-","Both sexes","23","Method - M3","Number","59662"
"PEC25C02","Projected Annual Deaths","2053","2053","1","Male","21","Method - M1","Number","31877"
"PEC25C02","Projected Annual Deaths","2053","2053","1","Male","22","Method - M2","Number","31110"
"PEC25C02","Projected Annual Deaths","2053","2053","1","Male","23","Method - M3","Number","30289"
"PEC25C02","Projected Annual Deaths","2053","2053","2","Female","21","Method - M1","Number","30568"
"PEC25C02","Projected Annual Deaths","2053","2053","2","Female","22","Method - M2","Number","29988"
"PEC25C02","Projected Annual Deaths","2053","2053","2","Female","23","Method - M3","Number","29373"
"PEC25C02","Projected Annual Deaths","2054","2054","-","Both sexes","21","Method - M1","Number","63510"
"PEC25C02","Projected Annual Deaths","2054","2054","-","Both sexes","22","Method - M2","Number","62092"
"PEC25C02","Projected Annual Deaths","2054","2054","-","Both sexes","23","Method - M3","Number","60564"
"PEC25C02","Projected Annual Deaths","2054","2054","1","Male","21","Method - M1","Number","32379"
"PEC25C02","Projected Annual Deaths","2054","2054","1","Male","22","Method - M2","Number","31570"
"PEC25C02","Projected Annual Deaths","2054","2054","1","Male","23","Method - M3","Number","30698"
"PEC25C02","Projected Annual Deaths","2054","2054","2","Female","21","Method - M1","Number","31131"
"PEC25C02","Projected Annual Deaths","2054","2054","2","Female","22","Method - M2","Number","30522"
"PEC25C02","Projected Annual Deaths","2054","2054","2","Female","23","Method - M3","Number","29866"
"PEC25C02","Projected Annual Deaths","2055","2055","-","Both sexes","21","Method - M1","Number","64591"
"PEC25C02","Projected Annual Deaths","2055","2055","-","Both sexes","22","Method - M2","Number","63093"
"PEC25C02","Projected Annual Deaths","2055","2055","-","Both sexes","23","Method - M3","Number","61468"
"PEC25C02","Projected Annual Deaths","2055","2055","1","Male","21","Method - M1","Number","32883"
"PEC25C02","Projected Annual Deaths","2055","2055","1","Male","22","Method - M2","Number","32029"
"PEC25C02","Projected Annual Deaths","2055","2055","1","Male","23","Method - M3","Number","31102"
"PEC25C02","Projected Annual Deaths","2055","2055","2","Female","21","Method - M1","Number","31708"
"PEC25C02","Projected Annual Deaths","2055","2055","2","Female","22","Method - M2","Number","31064"
"PEC25C02","Projected Annual Deaths","2055","2055","2","Female","23","Method - M3","Number","30366"
"PEC25C02","Projected Annual Deaths","2056","2056","-","Both sexes","21","Method - M1","Number","65687"
"PEC25C02","Projected Annual Deaths","2056","2056","-","Both sexes","22","Method - M2","Number","64089"
"PEC25C02","Projected Annual Deaths","2056","2056","-","Both sexes","23","Method - M3","Number","62365"
"PEC25C02","Projected Annual Deaths","2056","2056","1","Male","21","Method - M1","Number","33392"
"PEC25C02","Projected Annual Deaths","2056","2056","1","Male","22","Method - M2","Number","32487"
